υ(7-1),I(7-1),υ(7-8),I(7-8),υ(7-9),I(7-9),NPA1,NPA2,NPA3,NPA4,NPA5,NPA6,NPA7,NPA8,NPA9,NMR1,NMR2,NMR3,NMR4,NMR5,NMR6,NMR7,NMR8,NMR9,A(6-1-7),A(2-1-7),A(1-7-9),A(1-7-8),A(8-7-9),A(7-8-11),A(7-8-10),A(10-8-11),D(6-1-7-8),D(2-1-7-9),D(2-1-7-8),D(5-6-1-7),D(3-2-1-7),D(1-7-8-11),D(9-7-8-11),D(1-7-8-10),D(9-7-8-10),AD(7-8),AD(7-1),AD(6-8),AD(2-7),AD(7-9),fp(1),fm(1),fp(7),fm(7),fp(8),fm(8),fp(9),fm(9),L-R1,B1-R1,B5-R1,L-R2,B1-R2,B5-R2,L-R3,B1-R3,B5-R3,iso
1548.87,28.49,1740.87,154.82,3204.25,0.17,-0.0896,-0.228,-0.2529,-0.2507,-0.2522,-0.2375,-0.186,-0.1188,0.2673,47.5074,53.6883,56.1781,56.4062,57.0727,55.0338,44.7883,53.5902,23.2733,122.8606,118.6113,115.8108,128.3145,115.8586,115.3722,125.89,118.7185,37.2148,33.229,145.2364,179.1259,179.7895,177.7885,3.7468,3.8369,174.6278,1.3429,1.4721,3.1495,2.4725,1.0888,-0.0373,-0.0982,-0.142,-0.0534,-0.1434,-0.2207,-0.0371,-0.0349,4.15,1.5,3.05,3,1.52,2.04,6.28,3.11,3.11,0
1255.79,29.59,1742.91,143.02,3197.87,0,-0.0854,-0.2107,-0.2589,-0.1335,-0.2581,-0.2204,-0.1901,-0.1126,0.2699,47.7499,51.754,53.008,48.6165,53.8002,53.4007,46.382,52.3521,23.3198,122.9969,118.6519,115.7094,128.2708,116.0073,115.284,125.9617,118.7351,36.6819,32.6061,146.0469,178.689,179.3392,177.6803,3.67,3.9464,174.7033,1.3427,1.4714,3.1477,2.4719,1.0886,-0.0529,-0.091,-0.1209,-0.0548,-0.1436,-0.2121,-0.0361,-0.0337,4.15,1.5,3.05,3,1.52,2.04,8.1,1.9,3.16,0
1255.42,3.46,1745.97,61.69,3172.21,20.15,-0.087,-0.2366,-0.2508,-0.2544,-0.2534,-0.2347,-0.2277,-0.0855,0.2554,47.6131,56.2626,56.6283,56.8293,56.42,55.7311,56.4018,33.9129,24.5389,118.8952,122.5829,115.0897,127.7942,117.116,122.2203,122.8442,114.935,149.1056,147.4308,32.6295,179.8384,179.9542,176.5472,3.5141,3.1858,176.7528,1.3406,1.4772,3.7035,2.5259,1.0907,-0.0789,-0.0905,-0.0918,-0.0739,-0.1661,-0.2043,-0.0466,-0.041,4.04,1.5,3.06,4.05,1.88,3.18,6.28,3.11,3.11,0
1289.5,136.03,1740.93,271.1,3205.61,3.42,-0.0988,-0.2223,-0.2535,-0.2447,-0.2522,-0.2233,-0.1724,-0.3397,0.2613,50.3179,51.4335,55.6449,54.089,56.034,60.2456,40.3849,65.8062,23.5637,122.8774,118.5103,116.1394,127.2696,116.591,119.3852,122.5669,118.0478,0.0789,0.0721,179.919,179.9947,179.9938,179.9974,0.0115,0.0022,179.9933,1.3378,1.4685,3.0425,2.4664,1.0896,-0.0302,-0.1182,-0.1408,-0.0226,-0.1597,-0.2456,-0.0369,-0.0313,4.04,1.5,3.06,2.06,1,1,6.28,3.11,3.11,1
1285.57,121.77,1743.25,252.56,3208.32,7.03,-0.0959,-0.2062,-0.2625,-0.0533,-0.2613,-0.2066,-0.1761,-0.3334,0.2638,50.8843,50.1502,55.8899,43.9817,56.0701,58.7114,41.9504,64.7798,23.6318,122.9871,118.542,116.0996,127.2058,116.6947,119.2813,122.6822,118.0365,0.036,0.033,179.9668,179.9977,179.9985,179.9997,0.0001,0.0047,179.9951,1.3375,1.4679,3.0425,2.4659,1.0893,-0.0418,-0.1119,-0.1251,-0.0243,-0.1604,-0.2374,-0.0356,-0.0303,4.05,1.5,3.06,2.06,1,1,7.76,1.5,3.26,1
1287.19,163.13,1741.01,242.11,3207.37,0.25,-0.1137,-0.2044,-0.3239,0.4394,-0.3208,-0.2047,-0.1721,-0.3421,0.2625,54.4777,49.0282,70.0186,23.108,69.6883,57.6103,41.5276,66.4505,23.6079,122.9267,118.5101,116.0699,127.3704,116.5597,119.3219,122.6282,118.0499,0.0016,0.0053,179.9973,179.9941,179.9949,179.996,0.0066,0.0016,179.9958,1.3379,1.4673,3.0446,2.4658,1.0895,-0.0248,-0.1275,-0.1474,-0.0158,-0.1617,-0.2413,-0.0381,-0.031,4.05,1.5,3.06,2.06,1,1,6.91,1.5,3.24,1
1276.11,150.43,1740.05,323.33,3185.12,2.51,-0.1071,-0.2144,-0.2493,-0.0246,-0.2477,-0.2157,-0.1708,-0.3443,0.2607,52.6043,51.0974,55.2569,36.5437,53.659,60.5918,40.2477,66.8507,23.5617,123.1833,118.6441,116.042,127.4416,116.5155,119.3936,122.6179,117.9877,3.1403,2.6755,176.9728,179.891,179.8538,179.8311,0.1842,0.1619,179.485,1.3382,1.467,3.0508,2.4675,1.0897,-0.0245,-0.142,-0.1439,0.0027,-0.1574,-0.2189,-0.0369,-0.029,4.04,1.5,3.06,2.06,1,1,9.53,1.8,4.19,1
1287.99,146.73,1738.59,311.45,3204.93,5.83,-0.1088,-0.2143,-0.253,-0.0262,-0.2472,-0.2166,-0.1703,-0.3452,0.2607,53.286,51.4513,54.9477,41.3539,55.0675,60.4237,40.4526,67.097,23.6284,123.1317,118.7413,116.086,127.399,116.515,119.4094,122.5636,118.0269,0.02,0.023,179.9811,179.9974,179.9991,179.9982,0.0059,0.0052,179.9989,1.3385,1.4668,3.0495,2.4664,1.0897,-0.0232,-0.1423,-0.1466,0.0026,-0.1573,-0.2222,-0.0372,-0.0292,4.04,1.5,3.06,2.06,1,1,7.28,1.53,3.16,1
1299.8,147.73,1745.87,294.6,3186.63,1.62,-0.0927,-0.2207,-0.037,-0.2399,-0.2464,-0.2328,-0.1713,-0.3406,0.2608,50.3045,50.537,43.5538,53.2491,56.1585,63.4653,40.2771,66.1387,23.6127,123.0036,118.2594,116.1252,127.2724,116.6025,119.5516,122.5504,117.8979,0.0227,0.0212,179.9773,179.9984,179.9979,179.9988,0.0027,0.002,179.9966,1.3376,1.4687,3.0443,2.4641,1.0898,-0.0303,-0.1294,-0.1406,-0.0074,-0.1585,-0.2235,-0.0368,-0.0301,4.04,1.5,3.06,2.06,1,1,6.35,1.61,4.29,1
1283.08,92.28,1739.05,230.68,3219.62,3.96,-0.093,-0.0079,-0.2516,-0.24,-0.262,-0.2205,-0.175,-0.338,0.262,50.3808,44.6533,53.608,54.6231,58.4974,58.8606,42.5815,63.9477,22.9908,120.7503,119.9197,117.5968,126.249,116.1507,119.5372,122.3935,118.0635,21.1688,20.1312,159.162,179.4402,179.4171,179.3597,1.3382,1.5303,177.7719,1.3383,1.4705,3.0106,2.4953,1.0884,-0.0287,-0.1461,-0.1505,-0.0035,-0.1592,-0.2188,-0.0347,-0.0297,4.04,1.5,3.06,2.06,1,1,6.35,1.58,4.38,1
